,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
438,01:06:55,61,4015,983.61,917.5494756657307,6.016883627609019,59.81222635405383,24.58677543987037
440,01:07:25,61,4045,983.61,874.660861573969,4.734538138720408,59.99920251987029,23.439964259567386
442,01:07:45,62,4065,967.74,848.3563047766949,3.871868914842983,59.00682221919906,23.372607113142227
444,01:08:05,63,4085,952.38,829.2401702798569,3.289142964100513,58.07564529550916,23.339927906784077
446,01:08:30,63,4110,952.38,811.3126591424119,2.94921562011931,54.69891449469504,22.376570518362854
448,01:08:50,60,4130,1000.0,786.4360624800315,2.752289217959647,48.98118368583294,22.526704968430117
450,01:09:10,60,4150,1000.0,748.3022333451243,2.6284772904678375,43.55639131432413,22.527312719615427
452,01:09:40,65,4180,923.08,692.5626412131178,2.5250349307913145,36.239851105699444,22.461835160456285
454,01:09:50,70,4190,857.14,624.7758357883811,2.4186104161958735,35.643945201829446,25.998837179648582
456,01:10:00,66,4200,909.09,555.0808797333125,2.412545561763677,38.853979262497845,26.229444429915795
458,01:10:10,63,4210,952.38,483.84282606307966,2.4222844644889236,39.43506778831992,26.137512021879157
460,01:10:30,61,4230,983.61,422.48452549715233,2.4419565072037117,39.33562475747937,25.87657407220449
462,01:10:45,63,4245,952.38,393.7268063031648,2.595139116117684,38.83791772303485,25.775489623014384
464,01:11:10,62,4270,967.74,407.2876562207267,2.9584435848939554,36.9938802578293,25.718444901728898
466,01:11:20,64,4280,937.5,472.44379663834303,3.4879956507336343,36.54300913684463,25.375543424361034
468,01:11:35,60,4295,1000.0,592.5422203472247,4.117219200701577,36.71773813728683,26.36946777263896
470,01:11:55,62,4315,967.74,751.6059843536683,4.691561648443141,36.71773813728683,26.37595840216338
472,01:12:05,62,4325,967.74,928.9766489859818,5.160316866086757,36.62007880150684,26.467075233742232
474,01:12:30,59,4350,1016.95,1084.4157044152498,5.496451156941447,36.60160499659176,24.299605354988035
